Split,No,input_text,fallacy_type,a_annotator 1,a'_annotator 1,c_annotator 1,c'_annotator 1,x_annotator 1,template_annotator_1,is_arg_consequences_annotator_1,template_annotator_2,is_arg_consequences_annotator_2,a_annotator_2,a'_annotator_2,c_annotator_2,c'_annotator_2,x_annotator_2
Dev,107,"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",False Causality,knew that the roulette wheel was close,savings,,,,1,YES,1,YES,this thinking,,his savings,,
Dev,108,"P1. Smoking has been empirically proven to cause lung cancer.
 C. Therefore, if we eradicate smoking, we will eradicate lung cancer.",False Causality,eradicate smoking,lung cancer,,,,4,YES,4,YES,eradicate smoking,,lung cancer,,
Dev,109,Jack threw up because he ate Hot Cheetos.,False Causality,ate hot cheetos,threw up,,,,2,YES,2,YES,Hot Cheetos,,threw up,,
Dev,110,I passed my math test after going out to the movies the night before. I should go to the movies the night before every math test!,False Causality,go to the movies,passed my math test,,,,3,YES,3,YES,go to the movies the night before every math test,,passed my math test,,
Dev,111,"Before women got the vote, there were no nuclear weapons",False Causality,women vote,nuclear weapons,,,,2,YES,2,YES,women got the vote,,nuclear weapons,,
Dev,112,"a connection between two ideas that doesn't always mean that one causes the other (correlation vs. causation)
 
 una conexiÃ³n entre dos ideas que no siempre significa que una causa la otra (correlaciÃ³n vs. causaciÃ³n)",False Causality,,,,,,5,NO,5,NO,,,,,
Dev,113,"1. All the schools in the area had to kept closed for most part of the week.
 2. Many parents have withdrawn their children from the local schools.",False Causality,schools kept closed,many parents withdrawn their children,,,,2,YES,2,YES,all the schools in the area had to kept closed,,parents have withdrawn their children from the local schools,,
Dev,114,"â€œPresident Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.""",False Causality,raised taxes,violent crime,,,,2,YES,2,YES,Jones,,rise in crime,,
Dev,115,"Every time I wear this necklace, I pass my exams. Therefore, wearing this necklace causes me to pass my exams.",False Causality,wearing this necklace,pass my exams,,,,3,YES,3,YES,wearing this necklace,,pass my exams,,
Dev,116,"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.",False Causality,joan,customers,,,,1,YES,2,YES,Joan,,scared off all the customers,,
Dev,117,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.,False Causality,gerald,party,,,,1,YES,2,YES,Gerald,,ruined the party,,
Dev,118,"I took a vitamin this morning and now Iâ€™m sick, so the vitamin must have made me ill.",False Causality,vitamin,ill,,,,2,YES,2,YES,vitamin,,sick,,
Dev,119,There was a thunderstorm with rain therefore I did not finish my homework.,False Causality,thunderstorm,homework,,,,1,YES,1,YES,thunderstorm with rain,,finish my homework,,
Dev,120,My child was diagnosed with autism after receiving vaccinations. That is proof that vaccines are to blame.,False Causality,vaccines,autism,,,,2,YES,2,YES,vaccines,,autism,,
Dev,121,Iâ€™ve never had the flu because I take my vitamins everyday.,False Causality,vitamins,flu,,,,4,YES,4,YES,vitamins,,flu,,
Dev,122,"Utah passed a strict gun-control law, and crime there decreased. Therefore, gun-control laws decrease crime.",False Causality,gun-control laws,crime,,,,4,YES,4,YES,gun controls laws,,crime,,
Dev,123,"â€œThe temperature has dropped this morning, and I also have a headache. Therefore, the cold weather must be causing my headache. â€œ",False Causality,cold weather ,headache,,,,2,YES,2,YES,cold weather,,headache,,
Dev,124,"earthquakes in the Andes were correlated with the closest approaches of the planet Uranus. Therefore, Uranus must have caused them.",False Causality,Uranus,earthquakes in the Andes,,,,2,YES,2,YES,Uranus,,earthquakes in the Andes,,
Dev,125,"The bigger a child's shoe size, the better the child's handwriting",False Causality,child's shoe size,child's handwriting,,,,3,YES,3,YES,the bigger a child's shoe size,,child's handwriting,,
Dev,126,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,False Causality,wearing speedo,swimming,,,,3,YES,3,YES,Speedo,,swimming,,
Dev,127,"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",False Causality,sleeping,sun goes down,,,,3,YES,2,YES,my sleeping,,sun to set,,
Dev,128,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",False Causality,flue vaccine,holiday spending,,,,1,YES,2,YES,flu vaccine,,holiday spending,,
Dev,129,Billy murdered all those people because I spanked him when he was a child.,False Causality,spank,murder,,,,2,YES,2,YES,spanked,,billy murdered all those people,,
Dev,130,Incorrectly thinking that one thing leads to another,False Causality,incorrect thinking,another,,,,2,YES,5,NO,,,,,
Dev,131,"The economy continues to grow as the number of â€œlikesâ€ on my Instagram account continue to increase. Clearly, the two are linked.",False Causality,economy grow,number of like on instagram,,,,3,YES,3,YES,the number of likes on my Instagram account continue to increase,,economy,,
Dev,132,"""In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called ""Gay Rights"" and ""Gay Pride"" movement gained momentum and force can hardly be coincidental."" - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College",False Causality,gay,aids,,,,2,YES,2,YES,"""Gay Rights"" and ""Gay Pride"" movement",,AIDs,,
Dev,133,Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,False Causality,cat's scratch,fever,,,,2,YES,2,YES,cat's scratch,,fever,,
Dev,134,Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV,False Causality,debate on TV,won the presidency,,,,3,YES,3,YES,debate on TV,,won presidency,,
Dev,135,Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,False Causality,rebulican,recessions,,,,2,YES,2,YES,Republicans,,recessions,,
Dev,136,Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews,False Causality,world war II,hatred of the jews,,,,2,YES,2,YES,Adolf Hitler's hatred of the Jews,,World War II,,
Dev,137,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'Americaâ€™s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",False Causality,sales of ipods and other portable media devices,violent  ,,,,2,YES,2,YES,sales of iPods and other portable media,,violent crime,,
Dev,138,assumes that short-term deviations will correct themselves,False Causality,short-term deviations,correct,,,,3,YES,3,YES,short-term deviations,,correct themselves,,
Dev,139,"Maury: Please put all my chips on red 21.
 Dealer: Are you sure you want to do that? Red 21 just came up in the last spin.
 Maury: I didnâ€™t know that! Thank you! Put it on black 15 instead. I canâ€™t believe I almost made that mistake!",False Causality,Red 21 came up,mistake,,,,4,YES,2,YES,chips on red 21,,mistake,,
Dev,140,"I knew I should have helped that old lady across the road. Because I didnâ€™t, I have been having bad Karma all day.",False Causality,helped that old lady,karma,,,,4,YES,4,YES,helped that old lady across the road,,bad Karma,,
Dev,141,"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow.",False Causality,snow dance,snowed,,,,3,YES,3,YES,snow dance,,snow,,
Dev,142,"â€œPresident Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.â€",False Causality,raised taxes,violent crime,,,,2,YES,2,YES,Jones,,crime,,
Dev,143,"One day, Megan wore a Donald Duck t-shirt, and she got an Â¨AÂ¨ on her Chemistry test. Now she wears a Donald Duck t-shirt every day to Chemistry class. 
 Of what fallacy is this an example?",False Causality,Wore donald duck t-shirt,A on chemistry test,,,,3,YES,3,YES,wears a Donald Duck t-shirt,,A on her Chemistry test,,
Dev,144,"â€œPresident Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime.""",False Causality,raised taxes,violent crime,,,,2,YES,2,YES,Jones,,crime,,
Dev,145,"P1. Lead poisoning can contribute to violent behavior.
 P2. Many inner city children have dangerous levels of lead in their blood.
 C. Therefore, violent crime in the inner city can be solved by curing the lead problem.",False Causality,poisoning,violent crime,,,,2,YES,4,YES,curing the lead problem,,violent crime in the inner city,,
Dev,146,"The economy continues to grow as the number of likes on my Instagram account continue to increase. Clearly, the two are linked.",False Causality,economy grow,number of like on instagram,,,,3,YES,3,YES,the number of likes on my Instagram account continue to increase,,economy,,
